analysis_type	condition	replicate_if_applicable	metric	value	comparison_baseline	source_file
redundancy_sensitivity	100pct	NA	retained_sequences	623.0	628	block_b_evolutionary_robustness.json
redundancy_sensitivity	100pct	NA	spearman_rho_gcon	0.9996232265181604	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	100pct	NA	median_abs_gcon_change	0.2424183199402563	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	100pct	NA	p95_abs_gcon_change	0.5089237041351177	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	100pct	NA	global_consensus_agreement	0.996551724137931	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	100pct	NA	exact_fvi_agreement	0.9517241379310345	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	100pct	NA	fvi_binary_classification_agreement	1.0	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	100pct	NA	spearman_rho_fvi	0.989487507270368	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	100pct	NA	high_fvi_overlap	0.9702970297029703	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	95pct	NA	retained_sequences	580.0	628	block_b_evolutionary_robustness.json
redundancy_sensitivity	95pct	NA	spearman_rho_gcon	0.9984076615295303	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	95pct	NA	median_abs_gcon_change	0.7143564813796424	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	95pct	NA	p95_abs_gcon_change	1.7705758027926852	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	95pct	NA	global_consensus_agreement	0.9655172413793104	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	95pct	NA	exact_fvi_agreement	0.6896551724137931	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	95pct	NA	fvi_binary_classification_agreement	0.9689655172413794	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	95pct	NA	spearman_rho_fvi	0.9265771649296877	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	95pct	NA	high_fvi_overlap	0.9405940594059405	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	90pct	NA	retained_sequences	544.0	628	block_b_evolutionary_robustness.json
redundancy_sensitivity	90pct	NA	spearman_rho_gcon	0.9972734051599905	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	90pct	NA	median_abs_gcon_change	0.7950671557143316	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	90pct	NA	p95_abs_gcon_change	2.778057810578102	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	90pct	NA	global_consensus_agreement	0.9517241379310345	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	90pct	NA	exact_fvi_agreement	0.7206896551724138	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	90pct	NA	fvi_binary_classification_agreement	0.9724137931034482	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	90pct	NA	spearman_rho_fvi	0.9347707816360893	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	90pct	NA	high_fvi_overlap	0.9504950495049505	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	80pct	NA	retained_sequences	503.0	628	block_b_evolutionary_robustness.json
redundancy_sensitivity	80pct	NA	spearman_rho_gcon	0.9953216346939983	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	80pct	NA	median_abs_gcon_change	0.9115740636713703	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	80pct	NA	p95_abs_gcon_change	3.0033095083034826	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	80pct	NA	global_consensus_agreement	0.9655172413793104	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	80pct	NA	exact_fvi_agreement	0.8379310344827586	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	80pct	NA	fvi_binary_classification_agreement	0.996551724137931	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	80pct	NA	spearman_rho_fvi	0.9584276036439738	baseline_atlas	block_b_evolutionary_robustness.json
redundancy_sensitivity	80pct	NA	high_fvi_overlap	0.8910891089108911	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	sample_size	565.0	628	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	spearman_rho_gcon_median	0.9988106354951205	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	spearman_rho_gcon_p5	0.998075330063594	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	spearman_rho_gcon_p95	0.9991913637207218	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	global_consensus_agreement_median	0.9862068965517241	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	global_consensus_agreement_p5	0.9724137931034482	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	global_consensus_agreement_p95	0.993103448275862	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	exact_fvi_agreement_median	0.8793103448275862	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	exact_fvi_agreement_p5	0.7170689655172413	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	exact_fvi_agreement_p95	0.9522413793103448	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	fvi_binary_agreement_median	0.9896551724137931	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	fvi_binary_agreement_p5	0.9655172413793104	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	fvi_binary_agreement_p95	1.0	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	high_fvi_overlap_median	0.9455445544554455	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	high_fvi_overlap_p5	0.9108910891089109	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	90pct_fraction	NA	high_fvi_overlap_p95	0.9801980198019802	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	sample_size	471.0	628	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	spearman_rho_gcon_median	0.9970435017923179	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	spearman_rho_gcon_p5	0.9953535054205257	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	spearman_rho_gcon_p95	0.9978783020234587	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	global_consensus_agreement_median	0.9724137931034482	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	global_consensus_agreement_p5	0.9517241379310345	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	global_consensus_agreement_p95	0.9862068965517241	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	exact_fvi_agreement_median	0.7948275862068965	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	exact_fvi_agreement_p5	0.6137931034482759	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	exact_fvi_agreement_p95	0.8794827586206897	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	fvi_binary_agreement_median	0.9793103448275862	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	fvi_binary_agreement_p5	0.9517241379310345	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	fvi_binary_agreement_p95	0.993103448275862	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	high_fvi_overlap_median	0.9108910891089109	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	high_fvi_overlap_p5	0.8415841584158416	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	75pct_fraction	NA	high_fvi_overlap_p95	0.9504950495049505	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	sample_size	314.0	628	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	spearman_rho_gcon_median	0.9914163686752633	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	spearman_rho_gcon_p5	0.9856852848015973	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	spearman_rho_gcon_p95	0.9938944401542369	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	global_consensus_agreement_median	0.9517241379310345	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	global_consensus_agreement_p5	0.9241379310344827	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	global_consensus_agreement_p95	0.9724137931034482	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	exact_fvi_agreement_median	0.6741379310344828	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	exact_fvi_agreement_p5	0.4924137931034483	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	exact_fvi_agreement_p95	0.7689655172413793	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	fvi_binary_agreement_median	0.9586206896551724	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	fvi_binary_agreement_p5	0.9344827586206896	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	fvi_binary_agreement_p95	0.9827586206896551	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	high_fvi_overlap_median	0.8663366336633663	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	high_fvi_overlap_p5	0.7821782178217822	baseline_atlas	block_b_evolutionary_robustness.json
random_subsampling	50pct_fraction	NA	high_fvi_overlap_p95	0.9306930693069307	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	sample_size	561.0	628	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	spearman_rho_gcon_median	0.9987969809440627	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	spearman_rho_gcon_p5	0.9981503219876792	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	spearman_rho_gcon_p95	0.9991243976042239	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	global_consensus_agreement_median	0.9862068965517241	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	global_consensus_agreement_p5	0.9724137931034482	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	global_consensus_agreement_p95	0.9932758620689656	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	exact_fvi_agreement_median	0.8810344827586207	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	exact_fvi_agreement_p5	0.6758620689655173	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	exact_fvi_agreement_p95	0.9241379310344827	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	fvi_binary_agreement_median	0.9862068965517241	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	fvi_binary_agreement_p5	0.9620689655172414	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	fvi_binary_agreement_p95	0.9967241379310344	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	high_fvi_overlap_median	0.9356435643564356	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	high_fvi_overlap_p5	0.9004950495049505	baseline_atlas	block_b_evolutionary_robustness.json
family_stratified_subsampling	90pct_fraction	NA	high_fvi_overlap_p95	0.9801980198019802	baseline_atlas	block_b_evolutionary_robustness.json
