reference	reference_accession	neighbor_rank	neighbor_tree_id	neighbor_accession	neighbor_genus	neighbor_organism	distance
IsPETase	A0A0K8P6T7	1	tr|A0A1W6L588|A0A1W6L588_9BURK	A0A1W6L588	Piscinibacter	Piscinibacter gummiphilus	0.263193
IsPETase	A0A0K8P6T7	2	tr|A0ABS1WUN4|A0ABS1WUN4_9GAMM	A0ABS1WUN4	Steroidobacter	Steroidobacter gossypii	0.757286
IsPETase	A0A0K8P6T7	3	tr|A0AA82WPI3|A0AA82WPI3_9BURK	A0AA82WPI3	Caldimonas	Caldimonas taiwanensis	0.849306
IsPETase	A0A0K8P6T7	4	tr|A0AA82WPI4|A0AA82WPI4_9BURK	A0AA82WPI4	Caldimonas	Caldimonas taiwanensis	0.853379
IsPETase	A0A0K8P6T7	5	tr|A0AA82WPI5|A0AA82WPI5_9BURK	A0AA82WPI5	Caldimonas	Caldimonas taiwanensis	0.861595
IsPETase	A0A0K8P6T7	6	tr|A0A2K9LJV9|A0A2K9LJV9_9GAMM	A0A2K9LJV9	Ketobacter	Ketobacter alkanivorans	0.869081
IsPETase	A0A0K8P6T7	7	tr|A0A3E0WVY1|A0A3E0WVY1_9GAMM	A0A3E0WVY1	Alkalilimnicola	Alkalilimnicola ehrlichii	0.8727
IsPETase	A0A0K8P6T7	8	tr|A0AA97LXT2|A0AA97LXT2_9ACTN	A0AA97LXT2	Thermobifida	Thermobifida halotolerans	0.878532
IsPETase	A0A0K8P6T7	9	tr|A0AA97M4A3|A0AA97M4A3_9ACTN	A0AA97M4A3	Thermobifida	Thermobifida halotolerans	0.897881
IsPETase	A0A0K8P6T7	10	tr|A0A168EN35|A0A168EN35_9MICO	A0A168EN35	Isoptericola	Isoptericola dokdonensis DS-3	0.960201
IsPETase	A0A0K8P6T7	11	sp|G9BY57|PETH_UNKP	G9BY57	Unknown	Unknown prokaryotic organism	0.961988
IsPETase	A0A0K8P6T7	12	tr|A0A1W6LF85|A0A1W6LF85_9BURK	A0A1W6LF85	Piscinibacter	Piscinibacter gummiphilus	0.996416
IsPETase	A0A0K8P6T7	13	tr|A0ABU9M430|A0ABU9M430_STUCH	A0ABU9M430	Stutzerimonas	Stutzerimonas chloritidismutans (Pseudomonas chloritidismutans)	1.001247
