tree_id	clade_id	accession	genus	organism	reference_label
tr|F4Y3S0|F4Y3S0_9CYAN	clade_01	F4Y3S0	Moorena	Moorena producens 3L	NA
tr|A0A3N1DC31|A0A3N1DC31_9ACTN	clade_01	A0A3N1DC31	Actinocorallia	Actinocorallia herbida	NA
tr|A0ABN1QG72|A0ABN1QG72_9ACTN	clade_01	A0ABN1QG72	Actinocorallia	Actinocorallia libanotica	NA
tr|A0ABN3UAA8|A0ABN3UAA8_9ACTN	clade_01	A0ABN3UAA8	Actinocorallia	Actinocorallia aurantiaca	NA
tr|A0A5Q6S2Z8|A0A5Q6S2Z8_9ACTN	clade_01	A0A5Q6S2Z8	Mumia	Mumia zhuanghuii	NA
tr|A0ABY5MAY1|A0ABY5MAY1_9ACTN	clade_01	A0ABY5MAY1	Aeromicrobium	Aeromicrobium wangtongii	NA
tr|A0ABQ3X1A2|A0ABQ3X1A2_9ACTN	clade_01	A0ABQ3X1A2	Actinoplanes	Actinoplanes couchii	NA
tr|A0A8J3JTM3|A0A8J3JTM3_9ACTN	clade_01	A0A8J3JTM3	Catellatospora	Catellatospora bangladeshensis	NA
tr|A0A917X6A9|A0A917X6A9_9ACTN	clade_01	A0A917X6A9	Dactylosporangium	Dactylosporangium sucinum	NA
tr|A0ABN1ZI34|A0ABN1ZI34_9ACTN	clade_01	A0ABN1ZI34	Dactylosporangium	Dactylosporangium maewongense	NA
tr|A0A243RTG5|A0A243RTG5_9ACTN	clade_01	A0A243RTG5	Streptosporangium	Streptosporangium minutum	NA
tr|A0A1I4CM04|A0A1I4CM04_9ACTN	clade_01	A0A1I4CM04	Streptosporangium	Streptosporangium canum	NA
tr|D2B3P3|D2B3P3_STRRD	clade_01	D2B3P3	Streptosporangium	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / KCTC 9067 / NCIMB 10171 / NRRL 2505 / NI 9100)	NA
tr|A0A7D6ZIT8|A0A7D6ZIT8_9NOCA	clade_01	A0A7D6ZIT8	Nocardia	Nocardia huaxiensis	NA
tr|A0ABV3GLG2|A0ABV3GLG2_MICGL	clade_01	A0ABV3GLG2	Microtetraspora	Microtetraspora glauca	NA
tr|A0AAU4JZP8|A0AAU4JZP8_9NOCA	clade_02	A0AAU4JZP8	Williamsia	Williamsia herbipolensis	NA
tr|A0ABQ1V8J4|A0ABQ1V8J4_9NOCA	clade_02	A0ABQ1V8J4	Williamsia	Williamsia phyllosphaerae	NA
tr|A0A0M3TBT0|A0A0M3TBT0_9ACTN	clade_02	A0A0M3TBT0	Lawsonella	Lawsonella clevelandensis	NA
tr|A0A1J0VN38|A0A1J0VN38_9NOCA	clade_02	A0A1J0VN38	Nocardia	Nocardia mangyaensis	NA
tr|A0A370HZD1|A0A370HZD1_9NOCA	clade_02	A0A370HZD1	Nocardia	Nocardia pseudobrasiliensis	NA
tr|A0A318JYH2|A0A318JYH2_9NOCA	clade_02	A0A318JYH2	Nocardia	Nocardia tenerifensis	NA
tr|A0A370GT15|A0A370GT15_9NOCA	clade_02	A0A370GT15	Nocardia	Nocardia mexicana	NA
tr|A0A285L7T1|A0A285L7T1_9NOCA	clade_02	A0A285L7T1	Nocardia	Nocardia amikacinitolerans	NA
tr|A0A366DS33|A0A366DS33_9NOCA	clade_02	A0A366DS33	Nocardia	Nocardia puris	NA
tr|A0A370I561|A0A370I561_9NOCA	clade_02	A0A370I561	Nocardia	Nocardia pseudobrasiliensis	NA
tr|A0A9X3I6H8|A0A9X3I6H8_9ACTN	clade_02	A0A9X3I6H8	Gordonia	Gordonia aquimaris	NA
tr|A0AAU4JYB3|A0AAU4JYB3_9NOCA	clade_02	A0AAU4JYB3	Williamsia	Williamsia herbipolensis	NA
tr|A0A918KHB5|A0A918KHB5_9ACTN	clade_03	A0A918KHB5	Streptomyces	Streptomyces fructofermentans	NA
tr|A0AAE6YIC9|A0AAE6YIC9_STRAT	clade_03	A0AAE6YIC9	Streptomyces	Streptomyces antibioticus	NA
tr|C1IC18|C1IC18_9ACTN	clade_03	C1IC18	Streptomyces	Streptomyces asoensis	NA
tr|J7G260|J7G260_9ACTN	clade_03	J7G260	Streptomyces	Streptomyces aureochromogenes	NA
tr|A0A1B2HPK5|A0A1B2HPK5_9PSEU	clade_03	A0A1B2HPK5	Lentzea	Lentzea guizhouensis	NA
tr|A0A8J3NLV9|A0A8J3NLV9_9ACTN	clade_03	A0A8J3NLV9	Catellatospora	Catellatospora bangladeshensis	NA
tr|A0A8J3KXG5|A0A8J3KXG5_9ACTN	clade_03	A0A8J3KXG5	Catellatospora	Catellatospora coxensis	NA
tr|A0A8J3L5P2|A0A8J3L5P2_9ACTN	clade_03	A0A8J3L5P2	Catellatospora	Catellatospora methionotrophica	NA
tr|A0A8J3JYJ1|A0A8J3JYJ1_9ACTN	clade_03	A0A8J3JYJ1	Catellatospora	Catellatospora chokoriensis	NA
tr|A0A8J3KKH5|A0A8J3KKH5_9ACTN	clade_03	A0A8J3KKH5	Catellatospora	Catellatospora citrea	NA
tr|A0A7W3LQW1|A0A7W3LQW1_ACTKI	clade_03	A0A7W3LQW1	Actinomadura	Actinomadura kijaniata (Actinomadura namibiensis)	NA
tr|A0A8J3RZU3|A0A8J3RZU3_PLARO	clade_03	A0A8J3RZU3	Planobispora	Planobispora rosea	NA
tr|A0A8J3W4U6|A0A8J3W4U6_9ACTN	clade_03	A0A8J3W4U6	Planobispora	Planobispora longispora	NA
tr|A0ABW2SV52|A0ABW2SV52_9ACTN	clade_03	A0ABW2SV52	Streptosporangium	Streptosporangium amethystogenes subsp. fukuiense	NA
tr|A0A9X2K0A4|A0A9X2K0A4_9ACTN	clade_03	A0A9X2K0A4	Nonomuraea	Nonomuraea thailandensis	NA
tr|A0ABN3D3P5|A0ABN3D3P5_9ACTN	clade_03	A0ABN3D3P5	Nonomuraea	Nonomuraea monospora	NA
tr|A0A917Z115|A0A917Z115_9ACTN	clade_03	A0A917Z115	Nonomuraea	Nonomuraea cavernae	NA
tr|A0A5S4GNH7|A0A5S4GNH7_9ACTN	clade_03	A0A5S4GNH7	Nonomuraea	Nonomuraea zeae	NA
tr|A0A7W9IMV4|A0A7W9IMV4_9ACTN	clade_03	A0A7W9IMV4	Streptosporangium	Streptosporangium becharense	NA
tr|A0A1I4CKC4|A0A1I4CKC4_9ACTN	clade_03	A0A1I4CKC4	Streptosporangium	Streptosporangium canum	NA
tr|A0A243RG01|A0A243RG01_9ACTN	clade_03	A0A243RG01	Streptosporangium	Streptosporangium minutum	NA
tr|D2B3R3|D2B3R3_STRRD	clade_03	D2B3R3	Streptosporangium	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / KCTC 9067 / NCIMB 10171 / NRRL 2505 / NI 9100)	NA
tr|A0A7W0CGN6|A0A7W0CGN6_9ACTN	clade_03	A0A7W0CGN6	Nonomuraea	Nonomuraea soli	NA
tr|A0ABT7INI8|A0ABT7INI8_9BURK	clade_04	A0ABT7INI8	Mesosutterella	Mesosutterella faecium	NA
tr|A0A1I5FV26|A0A1I5FV26_9FIRM	clade_04	A0A1I5FV26	Anaerocolumna	Anaerocolumna aminovalerica	NA
tr|A0A3G9J2N1|A0A3G9J2N1_9BACL	clade_04	A0A3G9J2N1	Paenibacillus	Paenibacillus baekrokdamisoli	NA
tr|A0A3T1D9P2|A0A3T1D9P2_9BACL	clade_04	A0A3T1D9P2	Cohnella	Cohnella abietis	NA
tr|A0A1G6T100|A0A1G6T100_9NOCA	clade_04	A0A1G6T100	Rhodococcus	Rhodococcus tukisamuensis	NA
tr|R7WGV9|R7WGV9_9NOCA	clade_04	R7WGV9	Rhodococcus	Rhodococcus rhodnii LMG 5362	NA
tr|A0A1H6CN89|A0A1H6CN89_9ACTN	clade_04	A0A1H6CN89	Thermomonospora	Thermomonospora echinospora	NA
tr|A0A1Q9LLV5|A0A1Q9LLV5_9PSEU	clade_04	A0A1Q9LLV5	Actinokineospora	Actinokineospora bangkokensis	NA
tr|A0A7Y6I7B0|A0A7Y6I7B0_9ACTN	clade_04	A0A7Y6I7B0	Nonomuraea	Nonomuraea montanisoli	NA
tr|A0A7Y6MCQ0|A0A7Y6MCQ0_9ACTN	clade_04	A0A7Y6MCQ0	Nonomuraea	Nonomuraea rhodomycinica	NA
tr|A0ABT1KBG4|A0ABT1KBG4_9ACTN	clade_04	A0ABT1KBG4	Nonomuraea	Nonomuraea roseoviolacea subsp. carminata	NA
tr|A0A7X0EVU5|A0A7X0EVU5_9ACTN	clade_04	A0A7X0EVU5	Nonomuraea	Nonomuraea muscovyensis	NA
tr|A0ABW8A0E3|A0ABW8A0E3_9ACTN	clade_04	A0ABW8A0E3	Nonomuraea	Nonomuraea indica	NA
tr|A0A7W9GH83|A0A7W9GH83_9ACTN	clade_04	A0A7W9GH83	Nonomuraea	Nonomuraea jabiensis	NA
tr|A0ABR9LVG0|A0ABR9LVG0_9ACTN	clade_04	A0ABR9LVG0	Nonomuraea	Nonomuraea angiospora	NA
tr|A0ABV8G720|A0ABV8G720_9ACTN	clade_04	A0ABV8G720	Nonomuraea	Nonomuraea purpurea	NA
tr|A0ABP6YQH2|A0ABP6YQH2_9ACTN	clade_04	A0ABP6YQH2	Nonomuraea	Nonomuraea rosea	NA
tr|A0A5S4G823|A0A5S4G823_9ACTN	clade_04	A0A5S4G823	Nonomuraea	Nonomuraea zeae	NA
tr|A0A2T0MSV4|A0A2T0MSV4_9ACTN	clade_04	A0A2T0MSV4	Nonomuraea	Nonomuraea fuscirosea	NA
tr|A0ABW1D4K0|A0ABW1D4K0_9ACTN	clade_04	A0ABW1D4K0	Nonomuraea	Nonomuraea insulae	NA
tr|A0A4V2XJ75|A0A4V2XJ75_9ACTN	clade_04	A0A4V2XJ75	Nonomuraea	Nonomuraea longispora	NA
tr|A0A4V2YA86|A0A4V2YA86_9ACTN	clade_04	A0A4V2YA86	Nonomuraea	Nonomuraea deserti	NA
tr|A0A1H6EII4|A0A1H6EII4_9ACTN	clade_04	A0A1H6EII4	Nonomuraea	Nonomuraea solani	NA
tr|A0ABW4SNQ3|A0ABW4SNQ3_9ACTN	clade_04	A0ABW4SNQ3	Nonomuraea	Nonomuraea mangrovi	NA
tr|A0ABV5QFF4|A0ABV5QFF4_9ACTN	clade_04	A0ABV5QFF4	Nonomuraea	Nonomuraea roseola	NA
tr|A0A7W5VR51|A0A7W5VR51_9ACTN	clade_04	A0A7W5VR51	Nonomuraea	Nonomuraea dietziae	NA
tr|A0ABN3T5D2|A0ABN3T5D2_9ACTN	clade_04	A0ABN3T5D2	Nonomuraea	Nonomuraea recticatena	NA
tr|A0ABV5TPH8|A0ABV5TPH8_9ACTN	clade_04	A0ABV5TPH8	Streptosporangium	Streptosporangium vulgare	NA
tr|A0ABW2SVA4|A0ABW2SVA4_9ACTN	clade_04	A0ABW2SVA4	Streptosporangium	Streptosporangium amethystogenes subsp. fukuiense	NA
tr|A0ABV5SC32|A0ABV5SC32_9ACTN	clade_04	A0ABV5SC32	Nonomuraea	Nonomuraea helvata	NA
tr|A0A1H8CEP3|A0A1H8CEP3_9ACTN	clade_04	A0A1H8CEP3	Nonomuraea	Nonomuraea pusilla	NA
tr|A0ABW6SQH1|A0ABW6SQH1_9ACTN	clade_04	A0ABW6SQH1	Microtetraspora	Microtetraspora malaysiensis	NA
tr|A0ABW6V0T4|A0ABW6V0T4_MICFU	clade_04	A0ABW6V0T4	Microtetraspora	Microtetraspora fusca	NA
tr|A0ABT9R9S9|A0ABT9R9S9_9ACTN	clade_04	A0ABT9R9S9	Streptosporangium	Streptosporangium brasiliense	NA
