accession	tree_id	uniprot_id	protein_name	organism	genus	length	reviewed	source_queries	enzyme_class	reference_label
A0A066TML8	tr|A0A066TML8|A0A066TML8_9PSEU	A0A066TML8_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis rifamycinica	Amycolatopsis	308	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A075UPJ7	tr|A0A075UPJ7|A0A075UPJ7_9PSEU	A0A075UPJ7_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis japonica	Amycolatopsis	275	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A075V281	tr|A0A075V281|A0A075V281_9PSEU	A0A075V281_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis japonica	Amycolatopsis	279	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A081CLD2	tr|A0A081CLD2|A0A081CLD2_MOEAN	A0A081CLD2_MOEAN	cutinase (EC 3.1.1.74)	Moesziomyces antarcticus (Yeast) (Pseudozyma antarctica)	Moesziomyces	350	unreviewed	ec_cutinase	Cutinase	NA
A0A0A1SYU9	tr|A0A0A1SYU9|A0A0A1SYU9_9HYPO	A0A0A1SYU9_9HYPO	cutinase (EC 3.1.1.74)	[Torrubiella] hemipterigena	[Torrubiella]	291	unreviewed	cutinase	Cutinase	NA
A0A0A6XB90	tr|A0A0A6XB90|A0A0A6XB90_ACTUT	A0A0A6XB90_ACTUT	PET hydrolase/cutinase-like domain-containing protein	Actinoplanes utahensis	Actinoplanes	271	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A0C1CY98	tr|A0A0C1CY98|A0A0C1CY98_9FLAO	A0A0C1CY98_9FLAO	PET hydrolase/cutinase-like domain-containing protein	Kaistella jeonii	Kaistella	282	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A0C2G8Q0	tr|A0A0C2G8Q0|A0A0C2G8Q0_9ACTN	A0A0C2G8Q0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptomonospora alba	Streptomonospora	281	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A0D3IET5	tr|A0A0D3IET5|A0A0D3IET5_EMIH1	A0A0D3IET5_EMIH1	PET hydrolase/cutinase-like domain-containing protein	Emiliania huxleyi (strain CCMP1516)	Emiliania	342	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A0D3J3J8	tr|A0A0D3J3J8|A0A0D3J3J8_EMIH1	A0A0D3J3J8_EMIH1	PET hydrolase/cutinase-like domain-containing protein	Emiliania huxleyi (strain CCMP1516)	Emiliania	346	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A0D3JPC9	tr|A0A0D3JPC9|A0A0D3JPC9_EMIH1	A0A0D3JPC9_EMIH1	PET hydrolase/cutinase-like domain-containing protein	Emiliania huxleyi (strain CCMP1516)	Emiliania	330	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A0D3JWZ2	tr|A0A0D3JWZ2|A0A0D3JWZ2_EMIH1	A0A0D3JWZ2_EMIH1	PET hydrolase/cutinase-like domain-containing protein	Emiliania huxleyi (strain CCMP1516)	Emiliania	329	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A0D3JX57	tr|A0A0D3JX57|A0A0D3JX57_EMIH1	A0A0D3JX57_EMIH1	PET hydrolase/cutinase-like domain-containing protein	Emiliania huxleyi (strain CCMP1516)	Emiliania	307	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A0D7B574	tr|A0A0D7B574|A0A0D7B574_9AGAR	A0A0D7B574_9AGAR	cutinase (EC 3.1.1.74)	Cylindrobasidium torrendii FP15055 ss-10	Cylindrobasidium	284	unreviewed	cutinase	Cutinase	NA
A0A0D8JF23	tr|A0A0D8JF23|A0A0D8JF23_9BACT	A0A0D8JF23_9BACT	PET hydrolase/cutinase-like domain-containing protein	Draconibacterium sediminis	Draconibacterium	296	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A0D9NW74	tr|A0A0D9NW74|A0A0D9NW74_METAN	A0A0D9NW74_METAN	cutinase (EC 3.1.1.74)	Metarhizium anisopliae BRIP 53293	Metarhizium	251	unreviewed	cutinase	Cutinase	NA
A0A0G4L6Z0	tr|A0A0G4L6Z0|A0A0G4L6Z0_VERLO	A0A0G4L6Z0_VERLO	cutinase (EC 3.1.1.74)	Verticillium longisporum (Verticillium dahliae var. longisporum)	Verticillium	290	unreviewed	ec_cutinase	Cutinase	NA
A0A0G4MEG9	tr|A0A0G4MEG9|A0A0G4MEG9_VERLO	A0A0G4MEG9_VERLO	Cutinase (EC 3.1.1.74)	Verticillium longisporum (Verticillium dahliae var. longisporum)	Verticillium	286	unreviewed	ec_cutinase	Cutinase	NA
