accession	tree_id	uniprot_id	protein_name	organism	genus	length	reviewed	source_queries	enzyme_class	reference_label	taxonomic_lineage	taxon_domain
A0A066TML8	tr|A0A066TML8|A0A066TML8_9PSEU	A0A066TML8_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis rifamycinica	Amycolatopsis	308	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0A075UPJ7	tr|A0A075UPJ7|A0A075UPJ7_9PSEU	A0A075UPJ7_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis japonica	Amycolatopsis	275	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus), Amycolatopsis japonica group (no rank)	Bacteria
A0A075V281	tr|A0A075V281|A0A075V281_9PSEU	A0A075V281_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis japonica	Amycolatopsis	279	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus), Amycolatopsis japonica group (no rank)	Bacteria
A0A0A6XB90	tr|A0A0A6XB90|A0A0A6XB90_ACTUT	A0A0A6XB90_ACTUT	PET hydrolase/cutinase-like domain-containing protein	Actinoplanes utahensis	Actinoplanes	271	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micromonosporales (order), Micromonosporaceae (family), Actinoplanes (genus)	Bacteria
A0A0C1CY98	tr|A0A0C1CY98|A0A0C1CY98_9FLAO	A0A0C1CY98_9FLAO	PET hydrolase/cutinase-like domain-containing protein	Kaistella jeonii	Kaistella	282	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Weeksellaceae (family), Chryseobacterium group (no rank), Kaistella (genus)	Bacteria
A0A0C2G8Q0	tr|A0A0C2G8Q0|A0A0C2G8Q0_9ACTN	A0A0C2G8Q0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptomonospora alba	Streptomonospora	281	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Streptomonospora (genus)	Bacteria
A0A0D8JF23	tr|A0A0D8JF23|A0A0D8JF23_9BACT	A0A0D8JF23_9BACT	PET hydrolase/cutinase-like domain-containing protein	Draconibacterium sediminis	Draconibacterium	296	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Marinilabiliales (order), Prolixibacteraceae (family), Draconibacterium (genus)	Bacteria
A0A0K8P6T7	sp|A0A0K8P6T7|PETH_PISS1	PETH_PISS1	Poly(ethylene terephthalate) hydrolase (PET hydrolase) (PETase) (EC 3.1.1.101) (PET-digesting enzyme)	Piscinibacter sakaiensis (Ideonella sakaiensis)	Piscinibacter	290	reviewed	cutinase,ec_petase,ideonella,pet_hydrolase,petase,polyester_hydrolase,polyethylene_terephthalate_hydrolase	PET_hydrolase	IsPETase	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Sphaerotilaceae (family), Piscinibacter (genus)	Bacteria
A0A0M3TBT0	tr|A0A0M3TBT0|A0A0M3TBT0_9ACTN	A0A0M3TBT0_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Lawsonella clevelandensis	Lawsonella	340	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Lawsonellaceae (family), Lawsonella (genus)	Bacteria
A0A0N9IER5	tr|A0A0N9IER5|A0A0N9IER5_9PSEU	A0A0N9IER5_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Kibdelosporangium phytohabitans	Kibdelosporangium	289	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Kibdelosporangium (genus)	Bacteria
